"_time","http.http_user_agent","http.protocol","http.http_method"
"2021-03-04T17:35:37.625+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.624+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.622+0100","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0","HTTP/1.1",GET
"2021-03-04T17:35:37.607+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.606+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.598+0100","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0","HTTP/1.1",GET
"2021-03-04T17:35:37.584+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.582+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.560+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.554+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.541+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.510+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.500+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.499+0100","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0","HTTP/1.1",GET
"2021-03-04T17:35:37.498+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.492+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.469+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.457+0100","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1","HTTP/1.1",GET
"2021-03-04T17:35:37.454+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.452+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.446+0100","Mozilla/5.0 (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36 CrKey/1.50.230474","HTTP/1.1",HEAD
"2021-03-04T17:35:37.429+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0","HTTP/1.1",GET
"2021-03-04T17:35:37.409+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.396+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.380+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.365+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.353+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.351+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
